Soundtype/Voicesetid	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78
Disarmed	5000	5100	5200	5300	5400	5500	5600	5700	5800	5900	6000	6100	6200	6300	6400	6500	6600	6700	6800	6900	7000	7100	7200	7300	7400	7500	7600	7700	7800	7900	7400	41036	40882	41108	40956	40429	40652	43518	43118	43618	43218	44018	43318	44518	43418	44118	44218	44318	44418	40295	40571	40364	40728	40505	40804	41461	41613	41538	41689	41768	41842	41173	41243	41319	41394	8000	8100	8200	8300	8400	8500	8600	8700	8800	8900	9000	9100	9200	9300
Disarmed	5001	5101	5201	5301	5401	5501	5601	5701	5801	5901	6001	6101	6201	6301	6401	6501	6601	6701	6801	6901	7001	7101	7201	7301	7401	7501	7601	7701	7801	7901	7401	41036	40883	41109	40957	40430	40653	0	0	0	0	0	0	0	0	0	0	0	0	40296	40572	0	40729	0	40805	41462	41614	41539	41690	41769	0	41174	41244	41320	41395	8001	8101	8201	8301	8401	8501	8601	8701	8801	8901	9001	9101	9201	0
Closed1	5002	5102	5202	5302	5402	5502	5602	5702	5802	5902	6002	6102	6202	6302	6402	6502	6602	6702	6802	6902	7002	7102	7202	7302	7402	7502	7602	7702	7802	7902	7402	41037	40884	41110	40958	40431	40654	43516	43116	43616	43216	44016	43316	44516	43416	44116	44216	44316	44416	40297	40573	40365	40730	40506	40806	41463	41615	41540	41691	41770	41843	41175	41245	41321	41396	8002	8102	8202	8302	8402	8502	8602	8702	8802	8902	9002	9102	9202	9302
Closed2	5003	5103	5203	5303	5403	5503	5603	5703	5803	5903	6003	6103	6203	6303	6403	6503	6603	6703	6803	6903	7003	7103	7203	7303	7403	7503	7603	7703	7803	7903	7403	41038	40885	41110	40959	40432	40655	0	0	0	0	0	0	0	0	0	0	0	0	40298	40574	0	40731	0	40807	41464	41616	41541	41692	41771	41844	0	0	41322	0	8003	8103	8203	8303	8403	8503	8603	8703	8803	8903	9003	9103	9203	9303
FailedDisarm1	5004	5104	5204	5304	5404	5504	5604	5704	5804	5904	6004	6104	6204	6304	6404	6504	6604	6704	6804	6904	7004	7104	7204	7304	7404	7504	7604	7704	7804	7904	7404	41039	40886	41111	40960	40433	40656	43520	43120	43620	43220	44020	43320	44520	43420	44120	44220	44320	44420	40299	40575	40366	40732	40507	40808	41465	41617	41542	41693	41772	41845	41176	41246	41323	41397	8004	8104	8204	8304	8404	8504	8604	8704	8804	8904	9004	9104	9204	9304
FailedDisarm2	5005	5105	5205	5305	5405	5505	5605	5705	5805	5905	6005	6105	6205	6305	6405	6505	6605	6705	6805	6905	7005	7105	7205	7305	7405	7505	7605	7705	7805	7905	7405	41040	40887	41112	40961	40434	40657	0	0	0	0	0	0	0	0	0	0	0	0	40300	40576	0	40733	40508	40809	41466	41618	41543	41694	41773	41846	0	41247	41324	41398	8005	8105	8205	8305	8405	8505	8605	8705	8805	8905	9005	9105	9205	9305
ChooseMe1	5006	5106	5206	5306	5406	5506	5606	5706	5806	5906	6006	6106	6206	6306	6406	6506	6606	6706	6806	6906	7006	7106	7206	7306	7465	7565	7606	7706	7865	7965	7406	41042	40888	41113	40962	40435	40658	43582	43182	43682	43282	44082	43382	44582	43482	44182	44282	44382	44482	40301	40577	40367	40734	40509	40810	41467	41619	41544	41695	41774	41847	41177	41248	41325	41399	8065	8165	8206	8306	8406	8506	8606	8706	8806	8906	9006	9106	9206	9306
ChooseMe2	5007	5107	5207	5307	5407	5507	5607	5707	5807	5907	6007	6107	6207	6307	6407	6507	6607	6707	6807	6907	7007	7107	7207	7307	7462	7562	7607	7707	7862	7962	7407	41041	40889	41114	40963	40436	40659	43583	43183	43683	43283	44083	43383	44583	43483	44183	44283	0	44483	40302	40578	40368	40735	40510	40811	41468	41620	41545	41696	41775	41848	41178	41249	41326	41400	8062	8162	8207	8307	8407	8507	8607	8707	8807	8907	9007	9107	9207	9307
BadItem1	5008	5108	5208	5308	5408	5508	5608	5708	5808	5908	6008	6108	6208	6308	6408	6508	6608	6708	6808	6908	7008	7108	7208	7308	7408	7508	7608	7708	7808	7908	7408	41043	40890	41115	40964	40437	40660	43524	43124	43624	43224	44024	43324	44524	43424	44124	44224	44324	44424	40303	40579	40369	40736	40511	40812	41469	41621	41546	41697	41776	41849	41179	41250	41327	41401	8008	8108	8208	8308	8408	8508	8608	8708	8808	8908	9008	9108	9208	9308
BadItem2	5009	5109	5209	5309	5409	5509	5609	5709	5809	5909	6009	6109	6209	6309	6409	6509	6609	6709	6809	6909	7009	7109	7209	7309	7409	7509	7609	7709	7809	7909	7409	41044	40890	41115	40965	40438	40661	43525	43125	43625	43225	44025	43325	44525	43425	44125	0	44325	44425	40304	40580	0	40737	40512	40813	41470	41622	41547	41698	41777	41850	41180	41251	41328	41402	8009	8109	8209	8309	8409	8509	8609	8709	8809	8909	9009	9109	9209	9309
GoodItem1	5010	5110	5210	5310	5410	5510	5610	5710	5810	5910	6010	6110	6210	6310	6410	6510	6610	6710	6810	6910	7010	7110	7210	7310	7410	7510	7610	7710	7810	7910	7410	41045	40891	41116	40966	40439	40662	43526	43126	43626	43226	44026	43326	44526	43426	44126	44226	44326	44426	40305	40581	40370	40738	40513	40814	41471	41623	41548	41699	41778	41851	41181	41252	41329	41403	8010	8110	8210	8310	8410	8510	8610	8710	8810	8910	9010	9110	9210	9310
GoodItem2	5011	5111	5211	5311	5411	5511	5611	5711	5811	5911	6011	6111	6211	6311	6411	6511	6611	6711	6811	6911	7011	7111	7211	7311	7411	7511	7611	7711	7811	7911	7411	41046	40892	41117	40967	40440	40663	0	43127	43627	43227	44027	0	44527	0	44127	0	44327	0	40306	40582	40371	0	40514	40815	41472	41624	41549	41700	41779	41852	41182	41253	41330	41404	8011	8111	8211	8311	8411	8511	8611	8711	8811	8911	9011	9111	9211	9311
CantIdent1	5012	5112	5212	5312	5412	5512	5612	5712	5812	5912	6012	6112	6212	6312	6412	6512	6612	6712	6812	6912	7012	7112	7212	7312	7412	7512	7612	7712	7812	7912	7412	41047	40893	41118	40968	40441	40664	43528	43128	43628	43228	44028	43328	44528	43428	44128	44228	44328	44428	40307	40583	40372	40739	40515	40816	41473	41625	41550	41701	41780	41853	41183	41254	41331	41405	8012	8112	8212	8312	8412	8512	8612	8712	8812	8912	9012	9112	9212	9312
CantIdent2	5013	5113	5213	5313	5413	5513	5613	5713	5813	5913	6013	6113	6213	6313	6413	6513	6613	6713	6813	6913	7013	7113	7213	7313	7413	7513	7613	7713	7813	7913	7413	41048	40894	41119	40969	40442	40665	0	0	0	0	0	0	0	0	0	0	0	0	40308	40584	40373	40740	0	40817	41474	41626	41551	41702	41781	41854	41184	41255	41332	41406	8013	8113	8213	8313	8413	8513	8613	8713	8813	8913	9013	9113	9213	9313
Repaired1	5014	5114	5214	5314	5414	5514	5614	5714	5814	5914	6014	6114	6214	6314	6414	6514	6614	6714	6814	6914	7014	7114	7214	7314	7414	7514	7614	7714	7814	7914	7414	41049	40895	41120	40970	40443	40666	43530	43130	43630	43230	44030	43330	44530	43430	44130	44230	44330	44430	40309	40585	40374	40741	40516	40818	41475	41627	41552	41703	41782	41855	41185	41256	41333	41407	8014	8114	8214	8314	8414	8514	8614	8714	8814	8914	9014	9114	9214	9314
Repaired2	5015	5115	5215	5315	5415	5515	5615	5715	5815	5915	6015	6115	6215	6315	6415	6515	6615	6715	6815	6915	7015	7115	7215	7315	7415	7515	7615	7715	7815	7915	7415	41050	40895	41121	40971	40444	40667	43531	43131	43631	43231	44031	43331	0	43431	44131	0	0	44431	40310	40586	40375	40742	40517	40819	41476	41628	41553	41704	41783	0	41186	41257	41334	41408	8015	8115	8215	8315	8415	8515	8615	8715	8815	8915	9015	9115	9215	0
CantRep1	5016	5116	5216	5316	5416	5516	5616	5716	5816	5916	6016	6116	6216	6316	6416	6516	6616	6716	6816	6916	7016	7116	7216	7316	7416	7516	7616	7716	7816	7916	7416	41051	40896	41122	40972	40445	40668	43532	43132	43632	43232	44032	43332	44532	43432	44132	44232	44332	44432	40311	40587	40376	40743	40518	40820	41477	41629	41554	41705	41784	41856	41187	41258	41335	41409	8016	8116	8216	8316	8416	8516	8616	8716	8816	8916	9016	9116	9216	9316
CantRep2	5017	5117	5217	5317	5417	5517	5617	5717	5817	5917	6017	6117	6217	6317	6417	6517	6617	6717	6817	6917	7017	7117	7217	7317	7417	7517	7617	7717	7817	7917	7417	41052	40896	41123	40973	40446	40669	0	43133	0	0	0	0	0	0	0	0	0	0	40312	40588	0	0	40519	40821	41478	0	41555	41706	41785	41857	0	41259	41336	0	8017	8117	8217	8317	8417	8517	8617	8717	8817	8917	9017	9117	9217	9317
WeakMonster1	5018	5118	5218	5318	5418	5518	5618	5718	5818	5918	6018	6118	6218	6318	6418	6518	6618	6718	6818	6918	7018	7118	7218	7318	7418	7518	7618	7718	7818	7918	7418	41053	40897	41124	40974	40447	40670	43512	43112	43612	43212	44012	43312	44512	43412	44112	44212	44312	44412	40313	40589	40377	40744	40520	40822	41479	41630	41556	41707	41786	41858	41188	41260	41337	41410	8018	8118	8218	8318	8418	8518	8618	8718	8818	8918	9018	9118	9218	9318
WeakMonster2	5019	5119	5219	5319	5419	5519	5619	5719	5819	5919	6019	6119	6219	6319	6419	6519	6619	6719	6819	6919	7019	7119	7219	7319	7419	7519	7619	7719	7819	7919	7419	41054	40898	41125	40975	40448	40671	0	0	0	0	0	0	0	0	0	0	0	0	40314	0	0	40745	0	40823	41480	41631	41557	41708	41787	41859	41189	41261	41338	41411	8019	8119	8219	8319	8419	8519	8619	8719	8819	8919	9019	9119	9219	9319
BigMonster1	5020	5120	5220	5320	5420	5520	5620	5720	5820	5920	6020	6120	6220	6320	6420	6520	6620	6720	6820	6920	7020	7120	7220	7320	7420	7520	7620	7720	7820	7920	7420	41055	40899	41126	40976	40449	40672	43510	43110	43610	43210	44010	43310	44510	43410	44110	44210	44310	44410	40315	40590	40378	40746	40521	40824	41481	41632	41558	41709	41788	41860	41190	41262	41339	41412	8020	8120	8220	8320	8420	8520	8620	8720	8820	8920	9020	9120	9220	9320
BigMonster2	5021	5121	5221	5321	5421	5521	5621	5721	5821	5921	6021	6121	6221	6321	6421	6521	6621	6721	6821	6921	7021	7121	7221	7321	7421	7521	7621	7721	7821	7921	7421	41056	40900	41126	40977	40450	40672	0	0	0	0	0	0	0	0	0	0	0	0	40316	40591	40379	0	40522	40825	41482	41633	41559	41710	41789	41861	0	41263	0	0	8021	8121	8221	8321	8421	8521	8621	8721	8821	8921	9021	9121	9221	9321
CantIdMon1	5022	5122	5222	5322	5422	5522	5622	5722	5822	5922	6022	6122	6222	6322	6422	6522	6622	6722	6822	6922	7022	7122	7222	7322	7422	7522	7622	7722	7822	7922	7422	41057	40901	41127	40978	40451	40673	43528	43128	43628	43228	44028	43328	44528	43428	44128	44228	44328	44428	40317	40592	40380	40747	40523	40826	41483	41634	41560	41711	41790	41862	41191	41264	41340	41413	8022	8122	8222	8322	8422	8522	8622	8722	8822	8922	9022	9122	9222	9322
CantIdMon2	5023	5123	5223	5323	5423	5523	5623	5723	5823	5923	6023	6123	6223	6323	6423	6523	6623	6723	6823	6923	7023	7123	7223	7323	7423	7523	7623	7723	7823	7923	7423	41058	40902	41128	40979	40452	40673	0	0	0	0	0	0	0	0	0	0	0	0	0	40593	0	0	0	40827	41484	0	0	41712	0	41863	41192	0	41341	0	8023	8123	8223	8323	8423	8523	8623	8723	8823	8923	9023	9123	0	9323
QuickSpell1	5024	5124	5224	5324	5424	5524	5624	5724	5824	5924	6024	6124	6224	6324	6424	6524	6624	6724	6824	6924	7024	7124	7224	7324	7424	7524	7624	7724	7824	7924	7424	41059	40903	41129	40980	40453	40674	43534	43134	43634	43234	44034	43334	44534	43434	44134	44234	44334	44434	40318	40594	40381	40748	40524	40828	41485	41635	41561	41713	41791	41864	41193	41265	41342	41414	8024	8124	8224	8324	8424	8524	8624	8724	8824	8924	9024	9124	9224	9324
QuickSpell2	5025	5125	5225	5325	5425	5525	5625	5725	5825	5925	6025	6125	6225	6325	6425	6525	6625	6725	6825	6925	7025	7125	7225	7325	7425	7525	7625	7725	7825	7925	7425	41059	40904	41130	40981	40454	40675	0	43135	0	0	0	0	0	0	0	0	0	0	40319	40595	0	40749	0	40829	41486	41636	41562	41714	41792	41865	41194	0	0	41415	8025	8125	8225	8325	8425	8525	8625	8725	8825	8925	9025	9125	9225	9325
Hungry1	5026	5126	5226	5326	5426	5526	5626	5726	5826	5926	6026	6126	6226	6326	6426	6526	6626	6726	6826	6926	7026	7126	7226	7326	7426	7526	7626	7726	7826	7926	7426	41060	40905	41131	40982	40455	40676	43508	43108	43608	43208	44008	43308	44508	43408	44108	44208	44308	44408	40320	40596	40382	40750	40525	40830	41487	41637	41563	41715	41793	41866	41195	41266	41343	41416	8026	8126	8226	8326	8426	8526	8626	8726	8826	8926	9026	9126	9226	9326
Hungry2	5027	5127	5227	5327	5427	5527	5627	5727	5827	5927	6027	6127	6227	6327	6427	6527	6627	6727	6827	6927	7027	7127	7227	7327	7427	7527	7627	7727	7827	7927	7427	41061	40906	41131	40983	40456	40677	0	0	0	0	0	0	0	0	0	0	0	0	0	40597	0	40751	0	40831	0	41638	41564	41716	0	41867	41196	41267	41344	0	8027	8127	8227	8327	8427	8527	8627	8727	8827	8927	9027	9127	0	9327
SoftInjure1	5028	5128	5228	5328	5428	5528	5628	5728	5828	5928	6028	6128	6228	6328	6428	6528	6628	6728	6828	6928	7028	7128	7228	7328	7428	7528	7628	7728	7828	7928	7428	41062	40907	41132	40984	40457	40678	43566	43166	43666	43266	44066	43366	44566	43466	44166	44266	44366	44466	40321	40598	40383	40752	40526	40832	41488	41639	41565	41717	41794	41868	41197	41268	41345	41417	8028	8128	8228	8328	8428	8528	8628	8728	8828	8928	9028	9128	9228	9328
SoftInjure1	5029	5129	5229	5329	5429	5529	5629	5729	5829	5929	6029	6129	6229	6329	6429	6529	6629	6729	6829	6929	7029	7129	7229	7329	7429	7529	7629	7729	7829	7929	7429	41063	40908	41132	40985	40457	40678	43568	43168	43668	43268	44068	43368	44568	43468	44168	44268	44368	44468	40322	40598	40383	40753	40527	40832	41488	41640	41565	41718	41795	41869	41198	41269	41346	41418	8029	8129	8229	8329	8429	8529	8629	8729	8829	8929	9029	9129	9229	9329
HardInjured1	5030	5130	5230	5330	5430	5530	5630	5730	5830	5930	6030	6130	6230	6330	6430	6530	6630	6730	6830	6930	7030	7130	7230	7330	7430	7530	7630	7730	7830	7930	7430	41064	40909	41133	40986	40458	40679	43552	43152	43652	43252	44052	43352	44552	43452	44152	44252	44352	44452	40323	40599	40384	40754	40528	40833	41489	41641	41566	41719	41796	41870	41199	41270	41347	41419	8030	8130	8230	8330	8430	8530	8630	8730	8830	8930	9030	9130	9230	9330
HardInjured2	5031	5131	5231	5331	5431	5531	5631	5731	5831	5931	6031	6131	6231	6331	6431	6531	6631	6731	6831	6931	7031	7131	7231	7331	7431	7531	7631	7731	7831	7931	7431	41065	40910	41134	40987	40458	40680	43553	43153	43653	0	0	0	0	0	44153	0	0	0	40323	40600	40384	40755	40529	40834	41490	41642	41567	41720	41797	0	41200	41271	41348	41420	8031	8131	8231	8331	8431	8531	8631	8731	8831	8931	9031	9131	9231	0
Dying1	5032	5132	5232	5332	5432	5532	5632	5732	5832	5932	6032	6132	6232	6332	6432	6532	6632	6732	6832	6932	7032	7132	7232	7332	7432	7532	7632	7732	7832	7932	7432	41066	40911	41135	40988	40459	40681	43570	43170	43670	43270	44070	43370	44570	43470	44170	44270	44370	44470	40324	40601	40385	40756	40530	40835	41491	41643	41568	41721	41798	41871	41201	41272	41349	41421	8032	8132	8232	8332	8432	8532	8632	8732	8832	8932	9032	9132	9232	9332
Dying2	5033	5133	5233	5333	5433	5533	5633	5733	5833	5933	6033	6133	6233	6333	6433	6533	6633	6733	6833	6933	7033	7133	7233	7333	7433	7533	7633	7733	7833	7933	7433	41066	40911	41135	40989	40459	40681	0	0	0	0	0	0	0	0	0	0	0	0	40324	40601	40385	40756	40530	40835	41491	41643	41568	41721	0	0	0	0	0	0	8033	8133	8233	8333	8433	8533	8633	8733	8833	8933	9033	9133	0	0
Drunk1	5034	5134	5234	5334	5434	5534	5634	5734	5834	5934	6034	6134	6234	6334	6434	6534	6634	6734	6834	6934	7034	7134	7234	7334	7434	7534	7634	7734	7834	7934	7434	41067	40912	41136	40990	40460	40682	43578	43178	43678	43278	44078	43378	44578	43478	44178	44278	44378	44478	40325	40602	40386	40757	40531	40836	41492	41644	41569	41722	41799	41872	41202	41273	41350	41422	8034	8134	8234	8334	8434	8534	8634	8734	8834	8934	9034	9134	9234	9334
Drunk2	5035	5135	5235	5335	5435	5535	5635	5735	5835	5935	6035	6135	6235	6335	6435	6535	6635	6735	6835	6935	7035	7135	7235	7335	7435	7535	7635	7735	7835	7935	7435	41067	40912	41136	40991	40460	40682	0	0	0	0	0	0	0	0	0	0	0	0	40325	40602	40386	40757	40531	40836	41493	41644	41569	41722	41800	0	0	41274	41351	0	8035	8135	8235	8335	8435	8535	8635	8735	8835	8935	9035	9135	9235	0
Insane1	5036	5136	5236	5336	5436	5536	5636	5736	5836	5936	6036	6136	6236	6336	6436	6536	6636	6736	6836	6936	7036	7136	7236	7336	7436	7536	7636	7736	7836	7936	7436	41068	40913	41137	40992	40461	40683	43578	43178	43678	43278	44078	43378	44578	43478	44178	44278	44378	44478	40326	40603	40387	40758	40532	40837	41494	41645	41570	41723	41801	41873	41203	41275	41352	41423	8036	8136	8236	8336	8436	8536	8636	8736	8836	8936	9036	9136	9236	9336
