Random Item Generation By Treasure Level 1 - 6								
								
Item #	Pic File	1	2	3	4	5	6	
								
1	item001	8	2	0	0	0	0	Longsword
2	item002	0	10	5	2	0	0	Trollish War Sword
3	item003	0	0	5	7	3	0	Dark Elven Longsword
4	item004	0	0	0	5	7	3	Templar's Sword
5	item005	0	0	0	0	10	6	Champion's Sword
6	item006	8	2	0	0	0	0	Two-Handed Sword
7	item007	0	5	7	3	0	0	Dark Elven Bastard Sword
8	item008	0	0	5	7	3	0	Minotaur Battlesword
9	item009	0	0	0	0	10	10	Dragonning Blade
10	item010	0	0	0	0	0	5	Headsman's Reaver
11	item011	8	2	0	0	0	0	Iron Broadsword
12	item012	0	10	5	2	0	0	Trollish Claymore
13	item013	0	0	5	7	3	0	Lizardman Broadsword
14	item014	0	0	0	10	5	0	Knightly Broadsword
15	item015	0	0	0	0	0	5	Archangel Broadsword
16	item016	8	2	0	0	0	0	Rusty Cutlass
17	item017	0	10	5	2	0	0	Goblin Scimitar
18	item018	0	0	5	7	3	0	Regnan Cutlass
19	item019	0	0	0	10	5	0	Regnan Falchion
20	item020	0	0	0	0	10	10	Captain's Cutlass
21	item021	5	5	2	0	0	0	Crude Dagger
22	item022	0	5	7	3	0	0	Crystal Dagger
23	item023	0	0	10	5	2	0	Merchantman's Dagger
24	item024	0	0	2	8	4	0	Master's Dagger
25	item025	0	0	0	0	0	5	Fanged Blade
26	item026	5	5	2	0	0	0	Long Dagger
27	item027	0	10	5	2	0	0	Alvarian Poignard
28	item028	0	0	5	7	3	0	Regnan Fighting Knife
29	item030	0	0	0	10	5	0	Twilight Kris
30	item029	0	0	0	0	10	10	Dueling Long Dagger
31	item031	8	2	0	0	0	0	Stone Axe
32	item032	0	10	5	2	0	0	Battle Hatchet
33	item033	0	0	10	5	2	0	Battleaxe
34	item034	0	0	0	10	5	2	Dwarven Battleaxe
35	item035	0	0	0	2	6	7	Minotaur Battleaxe
36	item036	8	2	0	0	0	0	Two-Handed Axe
37	item038	0	10	5	2	0	0	Footman's Axe
38	item037	0	0	5	7	3	0	Minotaur War Axe
39	item039	0	0	0	5	7	5	Elite Minotaur Axe
40	item040	0	0	0	0	0	5	Minotaur Herdsman Axe
41	item041	8	2	0	0	0	0	Ogre Fighting Stick
42	item042	0	5	7	3	0	0	Steel Spear
43	item043	0	0	5	7	3	0	Elven Long Spear
44	item044	0	0	0	5	7	3	War Spear
45	item045	0	0	0	2	6	7	Dragon Harpoon
46	item046	8	2	0	0	0	0	Improvised Voulge
47	item048	0	10	5	2	0	0	Halberd
48	item047	0	0	5	7	3	0	Beaked Halberd
49	item049	0	0	0	5	7	5	Minotaur Campaign Pole-axe
50	item050	0	0	0	0	0	5	Labyrinth Grapple
51	item051	5	5	2	0	0	0	Hayfork
52	item052	0	10	5	2	0	0	Infantry Fork
53	item053	0	0	10	5	2	0	Lizardman Trident
54	item054	0	0	0	10	5	0	Regnan Trident
55	item055	0	0	0	0	0	5	Triton Trident
56	item056	5	5	2	0	0	0	Hunting Bow
57	item057	0	5	7	3	0	0	Recurve Bow
58	item058	0	0	10	5	2	0	Snakewood Bow
59	item059	0	0	0	5	7	3	Elven Warbow
60	item060	0	0	0	2	6	7	Devilbone Bow
61	item061	2	7	3	0	0	0	Light Crossbow
62	item062	0	0	10	5	2	0	Blood Drop Crossbow
63	item063	0	0	5	7	3	0	Hunting Crossbow
64	item064	0	0	0	5	7	5	Caravaner's Crossbow
65	item065	0	0	0	0	0	5	Regnan Crossbow
66	item066	3	7	3	0	0	0	Mace
67	item067	0	5	7	3	0	0	Flail
68	item068	0	0	5	7	3	0	Temple Mace
69	item069	0	0	0	5	7	3	Reverend Sceptre
70	item070	0	0	0	0	10	6	Trollish War Mace
71	item071	2	7	3	0	0	0	Sledgehammer
72	item072	0	0	10	5	2	0	Field Hammer
73	item073	0	0	5	7	3	0	Warhammer
74	item074	0	0	0	5	7	5	Sun Hammer
75	item075	0	0	0	0	0	5	Trollish Maul
76	item076	8	3	2	0	0	0	Club
77	item077	3	2	3	3	0	0	Thornbark Club
78	item078	0	0	5	5	10	0	Overlord's Club
79	item079	2	7	3	0	0	0	Journey Staff
80	item080	0	10	5	2	0	0	Orb Staff
81	item081	0	0	5	7	3	0	Priestly Staff
82	item082	0	0	0	10	5	0	Serpent Staff
83	item083	0	0	0	0	0	5	Bone Staff
84	item084	20	32	0	0	0	0	Leather Jerkin
85	item085	0	25	35	25	0	0	Hardened Leather Vest
86	item086	0	0	28	25	20	0	Caravaner's Leather
87	item087	0	0	0	20	32	30	Regnan Leather
88	item088	0	0	0	0	0	5	Alvarian Leather
89	item089	8	10	15	0	0	0	Rusty Mail Vest
90	item090	0	10	25	10	0	0	Steel Chainmail
91	item091	0	0	15	20	5	0	Minotaur Chainmail
92	item092	0	0	0	5	20	15	Siertal Chainmail
93	item093	0	0	0	0	10	35	Erudine Chainmail
94	item094	2	8	12	20	5	0	Rusty Breastplate
95	item095	0	0	5	10	15	5	Banded Plate
96	item096	0	0	0	10	25	10	Minotaur Plate
97	item097	0	0	0	5	35	20	Dark Knight Plate
98	item098	0	0	0	0	0	5	Dragoning Plate
99	item099	10	10	5	0	0	0	Trollish Shield
100	item100	5	10	5	0	0	0	Thornbark Shield
101	item101	0	0	8	7	0	0	Regnan Tournament Shield
102	item102	0	0	5	10	10	5	Veteran Shield
103	item103	0	0	0	0	0	5	Dragon Hunter's Shield
104	item104	10	13	7	0	0	0	Wooden Buckler
105	item105	2	7	7	0	0	0	Caravaner's Small Shield
106	item106	0	0	8	7	0	0	Calvary Shield
107	item107	0	0	2	8	13	12	Death Head Shield
108	item108	0	0	0	0	10	20	Eldritch Shield
109	item109	8	13	7	0	0	0	Helm
110	item110	2	8	13	8	0	0	Lizardman Helm
111	item111	0	5	10	15	5	0	Full Helm
112	item112	0	0	2	8	13	10	Battle Helm
113	item113	0	0	0	5	10	20	Dragon Helm
114	item114	2	5	12	7	3	0	Cloth Hat
115	item257	0	0	10	10	5	0	Festival Hat
116	item116	0	0	0	5	7	10	Merchantman's Hat
117	item117	0	8	7	5	3	0	Leather Belt
118	item118	0	7	8	5	4	0	Sturdy Belt
119	item119	0	0	5	8	7	0	Wyvern Leather Belt
120	item120	0	0	4	5	10	12	Steel Belt
121	item121	0	0	2	5	10	20	Artificer's Belt
122	item122	7	12	17	12	7	0	Traveler's Cloak
123	item123	5	10	15	10	5	0	Moon Temple Cloak
124	item124	0	2	8	13	12	0	Alvar Cloak
125	item125	0	0	7	12	13	7	Necromancer Cloak
126	item126	0	0	2	5	10	20	Vampire Cloak
127	item127	7	17	2	2	1	0	Leather Gloves
128	item128	5	12	13	8	4	0	Troll Gauntlets
129	item131	0	5	10	15	10	0	Steel Gauntlets
130	item129	0	2	5	10	15	10	Minotaur Gauntlets
131	item130	0	0	2	5	10	20	Crusader's Gauntlets
132	item132	7	13	12	7	3	0	Walking Boots
133	item133	2	12	13	8	4	0	Hardened Leather Boots
134	item134	0	0	5	10	15	0	Regnan Boots
135	item135	0	0	0	7	12	10	Alvarian Boots
136	item136	0	0	0	2	15	25	Dragonning Boots
137	item137	14	20	10	8	0	0	Bronze Ring
138	item138	11	15	20	10	0	0	Gold Ring
139	item139	0	0	15	20	10	0	Pearl Ring
140	item143	0	0	8	20	17	0	Gemstone Ring
141	item143	0	0	8	20	18	0	Amethyst Ring
142	item142	0	0	7	13	20	0	Necromatic Ring
143	item141	0	0	2	5	10	20	Ruby Ring
144	item144	0	0	2	5	8	20	Vampire's Ring
145	item145	0	0	0	2	0	27	Sun Opal Ring
146	item146	0	0	0	0	0	10	Focal Ring
147	item147	0	10	10	10	4	0	Brass Charm
148	item148	0	2	8	8	8	0	Jade Amulet
149	item149	0	0	5	8	9	0	Blood Talisman
150	item150	0	0	4	5	6	12	Shadow Sect Medallion
151	item151	0	0	0	0	0	5	Locus Amulet
152	item152	0	0	2	2	0	0	Witch's Wand of Fire
153	item152	0	0	2	2	0	0	Witch's Wand of Sparks
154	item152	0	0	2	2	0	0	Witch's Wand of Poison
155	item152	0	0	2	2	0	0	Witch's Wand of Stunning
156	item152	0	0	2	2	0	0	Witch's Wand of Harming
157	item153	0	0	2	2	0	0	Shaman's Wand of Light
158	item153	0	0	2	2	0	0	Shaman's Wand of Ice
159	item153	0	0	2	2	0	0	Shaman's Wand of Lashing
160	item153	0	0	2	2	0	0	Shaman's Wand of Mind
161	item153	0	0	2	2	0	0	Shaman's Wand of Swarms
162	item155	0	0	1	2	3	0	Wizard Wand of Fireballs
163	item155	0	0	1	2	3	0	Wizard Wand of Acid
164	item155	0	0	1	2	3	0	Wizard Wand of Lightning
165	item155	0	0	1	2	3	0	Wizard Wand of Blades
166	item155	0	0	1	2	3	0	Wizard Wand of Berzerking
167	item154	0	0	0	1	2	3	Serpent Wand of Blasting
168	item154	0	0	0	1	2	3	Serpent Wand of the Fist
169	item154	0	0	0	1	2	3	Serpent Wand of Rocks
170	item154	0	0	0	1	2	3	Serpent Wand of Paralysis
171	item154	0	0	0	1	2	3	Arcane Wand of Clouds
172	item156	0	0	0	0	2	5	Necrotic Wand of Implosion
173	item156	0	0	0	0	2	5	Necrotic Wand of Distortion
174	item156	0	0	0	0	2	5	Necrotic Wand of Shrapnel
175	item156	0	0	0	0	2	5	Necrotic Wand of Shrinking
176	item156	0	0	0	0	2	5	Necrotic Wand of Incineration
177	item213	6	11	3	0	0	0	Zircon
178	item218	4	9	5	0	0	0	Iolite
179	item215	0	5	5	0	0	0	Citrine
180	item214	0	5	7	0	0	0	Amber
181	item220	0	5	10	5	0	0	Amethyst
182	item221	0	3	8	7	0	0	Topaz
183	item219	0	0	5	12	4	0	Emerald
184	item217	0	0	3	10	7	0	Sapphire
185	item212	0	0	0	7	10	3	Ruby
186	item216	0	0	0	3	8	4	Diamond
187	item204	0	0	0	0	0	0	Gold
188	item205	0	0	0	0	0	0	Gold
189	item206	0	0	0	0	0	0	Gold
190	item211	0	0	0	0	5	10	Dimension door
191	Placeholder	0	0	0	0	0	0	_misc191
192	Placeholder	0	0	0	0	0	0	_misc192
193	Placeholder	0	0	0	0	0	0	_misc193
194	Placeholder	0	0	0	0	0	0	_misc194
195	Placeholder	0	0	0	0	0	0	_misc195
196	Placeholder	0	0	0	0	0	0	_misc196
197	Placeholder	0	0	0	0	0	0	_misc197
198	Placeholder	0	0	0	0	0	0	_misc198
199	Placeholder	0	0	0	0	0	0	_misc199
200	item158	20	0	0	0	0	0	Widowsweep Berries
201	item161	5	10	5	0	0	0	Wolf's Eye
202	item162	0	0	5	10	5	0	Phial of Gog Blood
203	item163	0	0	0	0	5	10	Ruby
204	item164	0	0	0	0	0	5	Phoenix Feather
205	item157	20	0	0	0	0	0	Phima Root
206	item165	5	10	5	0	0	0	Meteor Fragment
207	item166	0	0	5	10	5	0	Will O' Wisp Heart
208	item167	0	0	0	0	5	10	Datura
209	item168	0	0	0	0	0	5	Dragon Turtle Fang
210	item160	20	0	0	0	0	0	Poppy Pod
211	item169	5	10	5	0	0	0	Thornbark
212	item170	0	0	5	10	5	0	Sulfur
213	item171	0	0	0	0	5	10	Garnet
214	item172	0	0	0	0	0	5	Unicorn Horn
215	item159	20	0	0	0	0	0	Mushroom
216	item173	5	10	5	0	0	0	Obsidian
217	item174	0	0	5	10	5	0	Wasp Wing
218	item175	0	0	0	0	5	10	Mercury
219	item176	0	0	0	0	0	5	Philosopher's Stone
220	item198	20	0	0	0	0	0	Potion Bottle
221	item181	10	5	0	0	0	0	Catalyst
222	item178	10	5	0	0	0	0	Cure Wounds
223	item177	10	5	0	0	0	0	Magic Potion
224	item179	10	5	0	0	0	0	Cure Weakness
225	item185	5	10	0	0	0	0	Cure Disease
226	item183	5	10	0	0	0	0	Cure Poison
227	item184	5	10	0	0	0	0	Awaken
228	item186	0	0	5	0	0	0	Haste
229	item187	0	0	5	0	0	0	Heroism
230	item188	0	0	5	0	0	0	Bless
231	item189	0	0	5	0	0	0	Preservation
232	item190	0	0	5	0	0	0	Shield
233	item191	0	0	5	0	0	0	Recharge Item
234	item192	0	0	5	0	0	0	Stoneskin
235	item193	0	0	5	0	0	0	Water Breathing
236	item194	0	0	5	0	0	0	Harden Item
237	item195	0	0	5	0	0	0	Remove Fear
238	item196	0	0	5	0	0	0	Remove Curse
239	item197	0	0	5	0	0	0	Cure Insanity
240	item180	0	0	0	2	1	0	Might Boost
241	item180	0	0	0	2	1	0	Intellect Boost
242	item180	0	0	0	2	1	0	Personality Boost
243	item180	0	0	0	2	1	0	Endurance Boost
244	item180	0	0	0	2	1	0	Speed Boost
245	item180	0	0	0	2	1	0	Accuracy Boost
246	item180	0	0	0	2	1	0	Flaming Potion
247	item180	0	0	0	2	1	0	Freezing Potion
248	item180	0	0	0	2	1	0	Noxious Potion
249	item180	0	0	0	2	1	0	Shocking Potion
250	item180	0	0	0	2	1	0	Swift Potion
251	item180	0	0	0	2	1	0	Cure Paralysis
252	item180	0	0	0	2	1	0	Divine Restoration
253	item180	0	0	0	2	1	0	Divine Cure
254	item180	0	0	0	2	1	0	Divine Power
255	item180	0	0	0	2	1	0	Luck Boost
256	item180	0	0	0	2	1	0	Fire Resistance
257	item180	0	0	0	2	1	0	Air Resistance
258	item180	0	0	0	2	1	0	Water Resistance
259	item180	0	0	0	2	1	0	Earth Resistance
260	item180	0	0	0	2	1	0	Mind Resistance
261	item180	0	0	0	2	1	0	Body Resistance
262	item182	0	0	0	0	2	1	Stone to Flesh
263	item182	0	0	0	0	2	1	Slaying Potion
264	item182	0	0	0	0	2	1	Pure Luck
265	item182	0	0	0	0	2	1	Pure Speed
266	item182	0	0	0	0	2	1	Pure Intellect
267	item182	0	0	0	0	2	1	Pure Endurance
268	item182	0	0	0	0	2	1	Pure Personality
269	item182	0	0	0	0	2	1	Pure Accuracy
270	item182	0	0	0	0	2	1	Pure Might
